record_key,os,chipset,cpu,gpu
479197be9e595ca04ab37e59dbffdb76e446342ea19b9abd62668b06703bac69,"Android 14, up to 6 major Android upgrades, One UI 8.5",Mediatek Helio G99 (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2
669207706646419f4b6db219917c71eb09d88ec24caf7a3ddbbaee42c69dcb10,"Android 15, up to 6 major OS updates, One UI 8.5",Exynos 1330 (5 nm),Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68 MP2
47f7f73ae80264137a7c3b63f5f0c8909e4b8874ff404d4cff28478076068c39,"Android 11, upgradable to Android 13, One UI 5",Mediatek MT6769V/CU Helio G80 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2
840651d4736e14a9f00468c2d3ecaf28139a84e4574d9bb3ee789fa5b1be5b32,"Android 13, up to 4 major Android upgrades, One UI 8","Exynos 2200 (4 nm) - International, Qualcomm SM8450 Snapdragon 8 Gen 1 (4 nm) - USA","Octa-core (1x2.8 GHz Cortex-X2 & 3x2.50 GHz Cortex-A710 & 4x1.8 GHz Cortex-A510) - International, Octa-core (1x3.00 GHz Cortex-X2 & 3x2.50 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510) - USA","Xclipse 920 - International, Adreno 730 - USA"
66b25b30ff78584501c86018fc0950b6760951c5dd91299768271a326da94031,"Android 14, up to 7 major Android upgrades, One UI 8.5","Qualcomm SM8650-AC Snapdragon 8 Gen 3 (4 nm) - USA/Canada/China, Exynos 2400 (4 nm) - International","8-core (1x3.39GHz Cortex-X4 & 3x3.1GHz Cortex-A720 & 2x2.9GHz Cortex-A720 & 2x2.2GHz Cortex-A520), 10-core (1x3.2GHz Cortex-X4 & 2x2.9GHz Cortex-A720 & 3x2.6GHz Cortex-A720 & 4x1.95GHz Cortex-A520)","Adreno 750 (1 GHz) - USA/Canada/China, Xclipse 940 - International"
41724748957ccc6c33e688e94f814b1e40a0d211c7cf1f1d107997a67925dd91,"Android 13, upgradable to Android 16, One UI 8.5",Qualcomm SM8550-AC Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.36 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740
cdfc40a69fbdd347e536459b97a9cbafba3ff33238741c92be16938d51ffe277,"Android 13, up to 4 major Android upgrades, One UI 8.5",Qualcomm SM8550-AC Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.36 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740
f6c350dad63cc400616489c7737d26b77664ee2767f7154215a238836fff46b7,"Android 12L, up to 4 major Android upgrades, One UI 6.1.1",Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno 730
01dbc31aa4b8fb28aff18810f7d78c5604796416bd011d0a55a1e8d07ec9ba0c,Android 13 (Ine UI 3.0),MediaTek Helio G35,Octa-core,PowerVR GE8320
f6749884b568549b59cf921c29029d3ca1df6d6124677254aff9a222f9b24615,Android 12 Go edition,octa-core Unisoc T606,Octa Core,N/A
4de9e009cf75c628ec3fd32f00afeb750e574f8a9b7897dbdf0a80518d77a5a8,Android 13 (Go Edition),Unisoc SC9863A,Octa-Core,PowerVR GE8322
a0ebfc5406bfcff6d4d441670d3a205955336803e80238607308054d9dd4d6eb,Android 13 OS,Unisoc SC9863a,Octa Core,PowerVR GE8322
68f5d96034fc54273bf09625b4d05faeee11a7dd87f29fb6ffd1d001ed545db7,Android 13,MediaTek Helio G25,2.0 GHz Octa Core,PowerVR GE8322
f6e81b9dc89fb49f2fa8829f1df382397d01913c86b27fab23590a894777fb82,Android 13,MediaTek Helio G25,2.0 GHz Octa Core,PowerVR GE8322
f8e725516ec20df7ba69fbd5be0e7567fb15e266156614554317b7284b69cc3d,Android 12,MediaTek Helio G37,Octa Core,PowerVR GE8320
54648b79958a27128530b56cf102a0f1f39240b49addca3f36d7b45876d1c1a6,Android 13 OS,MediaTek Helio G99,2.0 GHz Octa Core,Arm Mali G57
5b422034ca0e17ca05903b0b809dc1a7a17d48c0b8217991464b539db1aca09c,Android 12 Go edition,Unisoc SC9832E,1.4Ghz Quad Core,PowerVR GE8322
62363c6285e84d8ce0cfcdf37367e3d4a834b01cb2143abf10638189fd689fd1,Android 12 Go edition,Unisoc SC9832E,1.3 GHz Quad Core,Power VR GE8322
d3cb8585249f1a5381131760f3c761a9abda9dda5f0e593db834d66952f14b95,Android 12 Go edition,Unisoc SC9832E,1.3 GHz Quad Core,Power VR GE8322
772282d4070825e03eae7ee7728381c837dbb62dc2d4c1a82bf6915c8eabe4e8,Android 12,Unisoc SC9832E,1.4GHz Quad Core,Mali-T820
bd242006a222c5f14432aed2b0bfcac3e73b4ca464b76e74bddc62aee3b4f8bf,Android 13,Mediatek Helio G88,Octa-core,Mali-G52 MP2
