record_key,os,chipset,cpu,gpu
8fec41a82a58529407621ed5f8af6135c7763afdf872bb322280d59698a2c82d,Android 16 OS,MediaTek Helio G100 MAX,Octa-core (2 x 2.2 GHz Cortex-A76 + 6 x 2.0 GHz Cortex-A55),ARM Mali-G57 MP2
94ea77d718951f7792deddabceffaf41357916c5ef30b1aef03125e3ba6d27cb,Android 15 OS,Qualcomm SM6225 Snapdragon 685 (6 nm),Octa-core (4 x 2.8 GHz Cortex-A73 + 4 x 1.9 GHz Cortex-A53),Adreno 610
82d40ece4f34e725e49575d906a7efa4a2e474ab05a7fa5dbccf33c906c64718,Android 15 OS,Qualcomm SM6225 Snapdragon 685 (6 nm),Octa-core (4 x 2.8 GHz Cortex-A73 + 4 x 1.9 GHz Cortex-A53),Adreno 610
7b331861edb5602fac1a04db9ff2811950e6c4dce5b6d0a268768eb3f48a2022,Android 15 OS,Mediatek Dimensity 8350 (4 nm),Octa-core (1 x 3.35 GHz Cortex-A715 + 3 x 3.20 GHz Cortex-A715 + 4 x 2.20 GHz Cortex-A510),Mali G615-MC6
4b8d2512aaa2a8fc245d0ea0cda7e2100f5284ce2849e5dc70667113713b5c27,Android 16 OS,Qualcomm SM7750-AB Snapdragon 7 Gen 4 (4 nm),Octa-core (1 x 2.8 GHz Cortex-720 + 4 x 2.4 GHz Cortex-720 + 3 x 1.8 GHz Cortex-520),Adreno 722
04cf26efc2467f7d7e62f46e9945dc84d1cead713066faf1c59fb7026daf87f5,Android 16 OS,Mediatek Dimensity 8450 (4 nm),Octa-core (1 x 3.25 GHz Cortex-A725 + 3 x 3.0 GHz Cortex-A725 + 4 x 2.1 GHz Cortex-A725),Mali-G720 MC7
2601edd26a87527a49071ec3b6d20e662bc7e35c1149365d4a9e07d208942732,Android 16 OS,Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm),Octa-core (4 x 2.2 GHz Cortex-A78 + 4 x 1.8 GHz Cortex-A55),Adreno 710
dd20c46956095267896777241f11412448f591aacde3bbe59275a7461a916797,"Android 16 OS, up to 3 major Android upgrades",Qualcomm SM7750-AB Snapdragon 7 Gen 4 (4 nm),Octa-core (1 x 2.8 GHz Cortex-720 + 4 x 2.4 GHz Cortex-720 + 3 x 1.8 GHz Cortex-520),Adreno 722
8a1b4e658a4924becc155ade37432f6ada5aa66ed5eb4bfdbe2038c8bf7f587c,"Android 16 OS, up to 3 major Android upgrades",Mediatek Dimensity 7300 Max (4 nm),Octa-core (4 x 2.5 GHz Cortex-A78 + 4 x 2.0 GHz Cortex-A55),Mali-G615 MC2
671cece05efe4ce2f9804669b1ad946753c41f843953429c027d0e6c4353638e,Android 16 OS,Unisoc T7250 (12 nm),Octa-core (2 x 1.8 GHz Cortex-A75 + 6 x 1.6 GHz Cortex-A55),Mali-G57 MP1
2e14abf32d6ca77541ef662ffa6ca8b5ffe790b6a69c038b33a37ec6934973e4,Android 16 OS,Unisoc T7250 (12 nm),Octa-core (2 x 1.8 GHz Cortex-A75 + 6 x 1.6 GHz Cortex-A55),Mali-G57 MP1
