record_key,data_snapshot,name,url,sound_loudspeaker,sound_cable_jack,colors_json,weight,price_json,source_file,file_sha256,completeness_score
fb7a7ef5b35e9c06eb5d9fcb0c17c779b870995aa29efa0e409e53e9c5f76fd1,2026-08-14T07:52:51+00:00,Realme GT 7 Dream Edition,https://www.whatmobile.com.pk/Realme_GT-7-Dream-Edition,"24-bit/192kHz Hi-Res audio, Speaker Phone",false,"[""Aston Martin racing Green""]",Weight Unknown,[219999.0],whatmobile.com.pk/whatmobile__Realme_GT-7-Dream-Edition.json,4ffb1d618134b2c5ee747bb3c073084ecce82cd2594bccb30abc8c352d0cf7a9,0.87500
06bfc36940b09cf3390ed5d361e3b135a19761529880923232a394637bfffecf,2026-08-14T07:48:58+00:00,Realme Note 60 128GB,https://www.whatmobile.com.pk/Realme_Note-60-128GB,"3.5mm Audio Jack, Speaker Phone",true,"[""Voyage Blue"",""Marble Black""]",Weight Unknown,[28999.0],whatmobile.com.pk/whatmobile__Realme_Note-60-128GB.json,0a66ae4633a9b6a4666b05ae9a4c14a31fcc3471ffc8e497c4a5fd4439011ebd,0.87500
304ae24508f9f71596d2b69e716d338b7c9dfde7cd3e8176b022faec1d9ddeb4,2026-08-14T07:48:53+00:00,Realme Note 60x 128GB,https://www.whatmobile.com.pk/Realme_Note-60x-128GB,"3.5mm Audio Jack, Speaker Phone",true,"[""Wilderness Green"",""Marble Black""]",Weight Unknown,[39999.0],whatmobile.com.pk/whatmobile__Realme_Note-60x-128GB.json,aa02f11b27b8c710a838d42835a1f075a83ae5fffa33df8d5ad24e4a5ca33af1,0.87500
20c579d2cb42e8e0c9e4ce78444a2a84c673f1b776524bae825f1a05b6b88c2b,2026-08-14T07:52:15+00:00,Realme Note 70 6GB,https://www.whatmobile.com.pk/Realme_Note-70-6GB,"3.5mm Audio Jack, Speaker Phone",true,"[""Beach Gold"",""Obsidian Black""]",Weight Unknown,[46999.0],whatmobile.com.pk/whatmobile__Realme_Note-70-6GB.json,6d34044b94714b0dd2a60d6da27f776f4b719cb28a1791022182772eb2195b3c,0.87500
35106d23adf2f88e8c21504c3848848383f61408431e8d01950f75480051a7d3,2026-08-14T07:51:25+00:00,Samsung Galaxy A07 128GB,https://www.whatmobile.com.pk/Samsung_Galaxy-A07-128GB,"3.5mm Audio Jack, Speaker Phone",true,"[""Gray"",""Light Violet"",""Dark Green""]",Weight Unknown,[44999.0],whatmobile.com.pk/whatmobile__Samsung_Galaxy-A07-128GB.json,449400cb18b5d41da1c62e5e87712e9c0491b16f73a600766a57f2dd2e27c825,0.87500
4a42bd60f4611f77d7c4defaa28d65cac6823395a81e89705e8f8eb51d507e32,2026-08-14T07:51:20+00:00,Samsung Galaxy A07 6GB,https://www.whatmobile.com.pk/Samsung_Galaxy-A07-6GB,"3.5mm Audio Jack, Speaker Phone",true,"[""Gray"",""Light Violet"",""Dark Green""]",Weight Unknown,[52500.0],whatmobile.com.pk/whatmobile__Samsung_Galaxy-A07-6GB.json,6ddf774ffc2af6e36dc0435fa8107656bca1a4622f695e31cc02e9b5c20b738b,0.87500
247056d786b08a36a8d37537c33b4447accaccd40414325fcec610a38e782688,2026-08-14T07:51:31+00:00,Samsung Galaxy A17 8GB,https://www.whatmobile.com.pk/Samsung_Galaxy-A17-8GB,"3.5mm Audio Jack, Speaker Phone",true,"[""Black"",""Gray"",""Light blue""]",Weight Unknown,[87500.0],whatmobile.com.pk/whatmobile__Samsung_Galaxy-A17-8GB.json,29c0649d0d2eac699e61e8f6a9858f5410ec9c0ddc5f5b51504ded45665ff3ee,0.87500
d8193e1a86d154110a833e815380f272b3796df63234e5b8423398413fc8b967,2026-08-14T07:50:12+00:00,Samsung Galaxy A27,https://www.whatmobile.com.pk/Samsung_Galaxy-A27,"3.5mm Audio Jack, Speaker Phone",true,"[""Black"",""Blue"",""Light Green"",""Light Pink""]",Weight Unknown,[119999.0],whatmobile.com.pk/whatmobile__Samsung_Galaxy-A27.json,3c9c6028f237e6ae5208c2ba53ae70722411a23ca677beee45ac32e16b1d7ec1,0.87500
d7285b46c06b880fc24db30508a7404d0d24e4a33d94d116b57adc179eae2d6f,2026-08-14T07:50:17+00:00,Samsung Galaxy A37,https://www.whatmobile.com.pk/Samsung_Galaxy-A37,"24-bit/192kHz Hi-Res audio, Speaker Phone",false,"[""Graygreen"",""Charkoal"",""White"",""Light Violet""]",Weight Unknown,[149999.0],whatmobile.com.pk/whatmobile__Samsung_Galaxy-A37.json,73a7a2e712963a5984aec53fb61618c29943e040fd5793ca4d670c4f66e8f222,0.87500
a6789d3461b371c678709b9788ec581233f533e6e23df12deec0dc8967ba9368,2026-08-14T07:48:31+00:00,Samsung Galaxy A56 12GB,https://www.whatmobile.com.pk/Samsung_Galaxy-A56-12GB,Speaker Phone,false,"[""Black; other colors""]",Weight Unknown,[150999.0],whatmobile.com.pk/whatmobile__Samsung_Galaxy-A56-12GB.json,e0c683a85b4f436878d69797ada5134b4587ab9edb1d35c22ab21f69c7571732,0.87500
aa107e0df2a31c69074f79377c87bfb8e5e3e7af494d861a68e58ed3a5c12927,2026-08-14T07:43:23+00:00,Samsung Galaxy A57 12GB,https://www.whatmobile.com.pk/Samsung_Galaxy-A57-12GB,Speaker Phone,false,"[""Navy"",""Gray"",""Icyblue"",""Lilac""]",Weight Unknown,[184999.0],whatmobile.com.pk/whatmobile__Samsung_Galaxy-A57-12GB.json,da48d3273507ca9aadec56ab6ae24b24663e95b47644fd12e08282e7b4fdcf1c,0.87500
