record_key,card_slot,technology,types_json
2646f923a87ea048ce8acb7db6fcde33728e6924c74828e83d5aef36d5121db2,Unspecified,"256GB Built-in, 12GB RAM, UFS 3.1","[""256GB Built-in"",""12GB RAM"",""UFS 3.1""]"
89dfc41d18a3673bf83267db56ca3c6dc7964f55a406409748fa2bcd6273d34d,Unspecified,"256GB Built-in, 8GB RAM (+ 8GB Extended RAM), UFS 3.1","[""256GB Built-in"",""8GB RAM (+ 8GB Extended RAM)"",""UFS 3.1""]"
19c7fea0ae4908cbb32f898d97bb5e4ac64d9d0f37d309a7b43478c222323c01,microSDXC (dedicated slot),"128GB Built-in, 6GB RAM, eMMC 5.1","[""128GB Built-in"",""6GB RAM"",""eMMC 5.1""]"
be2a61a1220df55fa4aef28f447b549aacdfdb773fc90cf50a6de8f0f7f3c82a,"microSD Card, (supports upto 2TB)","128GB Built-in, 4GB RAM (+4GB Extended RAM), eMMC 5.1","[""128GB Built-in"",""4GB RAM (+4GB Extended RAM)"",""eMMC 5.1""]"
e5ab53a1860808ef848773d716382b91437a66ffaa68822f8cbf2913524be2ba,"microSD Card, (supports up to 2TB)","128GB Built-in, 6GB RAM, eMMC 5.1","[""128GB Built-in"",""6GB RAM"",""eMMC 5.1""]"
041ed8a6d8297b010d9f9ba878459ef517d1af01cadee0ce6c4dbd071363a5f5,"microSD Card, (supports up to 2TB)","128GB Built-in, 6GB RAM, eMMC 5.1","[""128GB Built-in"",""6GB RAM"",""eMMC 5.1""]"
34b7115693cdca58139716cc49cd7ab78f12eac81220266cdbc9c170e38b93f9,"microSD Card, (supports up to 2TB)","128GB Built-in, 8GB RAM, eMMC 5.1","[""128GB Built-in"",""8GB RAM"",""eMMC 5.1""]"
e81f31d687b95aa322df381e62f9c8da571f9db2d9f0da0a6f5645bba6a3029d,microSDXC (uses shared SIM slot),"256GB Built-in, 8GB RAM, eMMC 5.1","[""256GB Built-in"",""8GB RAM"",""eMMC 5.1""]"
7ae64d15324996ac9511ef989a0021d7f49d847bbb53691b0024115d049b325f,microSDXC (dedicated slot),"256GB Built-in, 8GB RAM, UFS 2.2","[""256GB Built-in"",""8GB RAM"",""UFS 2.2""]"
ebab87bcd40ba3ef17b7ae4fe6ed4a4b940ebff0f94ebcc2ac1fd5028ff7f996,microSDXC (dedicated slot),"128GB Built-in, 8GB RAM, UFS 2.2","[""128GB Built-in"",""8GB RAM"",""UFS 2.2""]"
6121038dba32bec7f4529487de05cf2a18a64322f110f7247b4caa5cb4ea6a67,No,"256GB Built-in, 8GB RAM","[""256GB Built-in"",""8GB RAM""]"
c2d6664e6f2b5240cf834d7330df2a850b3f57cd2a068b236da130943b70d8a3,microSDXC (uses shared SIM slot),"128GB Built-in, 8GB RAM","[""128GB Built-in"",""8GB RAM""]"
