record_key,type,size,resolution,protection
246222c3093e92954c75e2b29da5bd7bb15473c3ada9fc2524bed9f3d69c3c24,Super AMOLED,"6.7""",1080 x 2340 Pixels (~385 PPI),
d5daec71adb1ac79be605a1c85f716d3c9cae44dff8045e52eee8440753eb4e4,AMOLED,"6.78""","1260 x 2800 pixels, 20:9 ratio (~453 ppi density)",
9a88a9bca1a6963fe409145147817fcc321a3a0cfd3cb181a9614bb44c4c75b1,AMOLED,,2800 × 1260,
e9180c71f85a29e8a4d98deb05573a75f9af6feb446d9fe5006e23c74e04f0a2,AMOLED,,2392 × 1080,
0fe19499f0061c2e7c7d53ae7df15758aa8998bd1e5988409f56c49e75861628,AMOLED,,2392 × 1080,
cec126cba6c6b235d2f1f473b7a19785ff00f81f32691d928522e6e7664d2c18,,"6.75""",720 × 1600,
2b66ff854c8c47c0a446277def0eadcb047b4db6fb0f457439c3a142eae3ca25,IPS LCD,6.74 Inch,720 x 1600,
ebb8e287ce6225a1c37f1074aec4aaff8ffb44955994a942606e9c80cabdc4c0,,,,
c5517db177d73de8394887b823f0b22a37a94342cc1b09a7b581457aebde65c8,,,2800 × 1260,
c26500722119999cd6d1857f8a80c2f73546ad6da17ed103630159ee6ca0480f,LCD,6.74 Inch,1600 x 720 Pixels,N/A
2733065fe82cb1fef0db6a447441fc103863b4461a9437feae8093ecad56fe82,,,,
226e6c62682d6461972c708b2c43a5615c99895500083be5c78c559525f071cc,,,,
aad89c6c504808dd0508f7930bde13ca4aaf1ad851a0ff3f6f657e600497b6fa,,,,
6dc628f357c69908bcd189a50df6754e81f4d0db66f420aca54e359808c93257,,,,
74765d27a489b5114d47aad29cc54d14663a2ae90caf286de2068be5e48220bf,,,,
9a8915bf58bfd2d8dbe35265a3cb594a430b80c623d920756be7963e56a1bb1c,OLED,6.67inch,1080 x 2400 FHD+,N/A
ab5d10dcbc149792a544ac0bf4f4686abc5d61e77a4c715da008714dd9ac01bf,,,,
c274c9e2746358e3c959b6e9120d46019484b22efcb5c8930944d814ed7e797b,,,,
61df89ecf6c9a3ff8f3941716f397b72aa6d9a59ba440b9f6446a82fade64e6f,,,,
9016a34c95d7b4cedc764687c6a96e09ca6abf46170e00216cca482e85f9231e,,,,
5d8c8633b8489935254b391bc3f964f53cdbfa3097e050fa1fb05b7cfd8c77b2,,,,
dde6ef6405f5c62219caec1582fc526c7e181918aaf8ef1bb74caa470d32a418,,,,
d636866b047aea8e40e36c4f257fb860bc130a9d99314826aca97ad4c706f23d,,,,
a0de4d34b6778d06164506dd7002a788571d24a8564659270c69533cf7ea5009,IPS LCD,6.79 Inches,1080 x 2460 pixels,Corning Gorilla Glass
2d7f7bdfd10d6b882fa07dbf2b84ca0c1849f2a221f5fd8ed142d9b9f08a1b2b,IPS LCD,6.79 Inches,1080 x 2460 pixels,Corning Gorilla Glass
7c8c24b329c6c0b36f32b3337760b405510fd611ef86b43b5ee5c988e961cb18,IPS LCD,6.79 Inches,1080 x 2460 pixels,Corning Gorilla Glass
b88b8222b083917c819589542ef96b9dd80db8701f1513e193e09c5d0d1ecc21,,,,
5ffd3a34668a7163f47a00dccc3efcd7291b2da946233325e6c1af70e70dd71e,,,,
dfb662bacffc7794d659013c78b6f7ddf4f2e84a18d61a32a9193e1c00098117,IPS LCD,6.74 inches,720 x 1600 pixels,Corning Gorilla Glass
e9fa2c5cb2843ae5a33412ab09ae75ec9f3c2a5a496902fbe5ffd7fd172df3f2,,6.7 Inch,,
2b57ad5dddba821853ff3b6eae87e8ebdd8467509b964a2fea8ac54b6d38634f,IPS LCD,6.74 inches,720 x 1600 pixels,Corning Gorilla Glass
4b8a28f1ea765f2af56cd28490a9f8911dd7e5aa1e6e34ceb081e144949f07cf,IPS LCD,6.74 inches,720 x 1600 pixels,Corning Gorilla Glass
99241aa8a0b7eee57eb0dd7aeec14b32a01f43631920da32de21c37a02316e32,,6.7 inch,,
f4da9996ec6339389391080c0712a00e5520662d640bf44ad491e0b8a4638db5,,"6.74""",,
d7db0123de394cd68555b4b868303343c8ede3a99bf0998c962adde426da82c2,,,,
37096df69a535b7a8fefd6e8001aa2fdfd3307e2e2d2edddc5aab7f4cd22e988,,,,
dbe15df963f54e62280e99926e4f2de9c2b660cc34800ca02ad7c71e7ac2f6d9,,,,
98c22bf451ea7875fa464f560637e516af839b938c8410d98a28cbccad7d1669,,,,
2c98e4f0d8f0cb99484d756512bf610330006b7223cf59530abf687c56a936ba,AMOLED,6.67 Inches,"2400×1080, 1800nits(peak brightness)",Corning Gorilla Glass Victus 2
68819812b255744c9812dde2d193a6e67bb23c6a95a1f7c5a96f570628bc4ba3,AMOLED,"6.67""",2400 x 1080,
3e7c859bddef37a2e0dea4c567d3f9cba14b391594a1f6b1381c091f6139681e,,,,
1ec5acfc347321a2a0e3902b6e758b7653f86b323c6b78e93f74aeaba77cd48a,,,,
0808eba1b03a7dcf0629e4592f237fa394cee66513c84f45d156368774fe02e7,AMOLED,6.67 Inches,1080 x 2400 Pixels,N/A
